Dipole,Dist-mm,Residual-Variance,
776,14.58634,0.002266,
777,20.55967,0.004681,
778,11.78646,0.004102,
779,7.871853,0.003169,
780,9.313263,0.008096,
781,2.438066,0.017825,
782,10.34782,0.003729,
783,11.76454,0.002328,
784,13.88078,0.003453,
785,6.929061,0.004187,
786,14.24304,0.006971,
787,3.228287,0.001241,
788,8.4151,0.003439,
789,12.87845,0.004162,
790,9.247175,0.003893,
791,13.25797,0.004289,
792,6.171787,0.002317,
793,14.07271,0.003799,
794,12.82316,0.00236,
795,7.52016,0.003682,
796,11.90227,0.002458,
797,3.846065,0.003292,
798,6.185008,0.003275,
799,11.67595,0.002854,
800,14.0943,0.002483,
801,13.1515,0.006191,
802,25.30731,0.00834,
803,8.6269,0.003247,
804,16.68938,0.004105,
805,11.05711,0.006056,
806,1.485217,0.007962,
807,13.95977,0.001861,
808,9.51102,0.006134,
809,9.692785,0.003094,
810,4.271576,0.004717,
811,15.28003,0.002581,
812,11.18682,0.003232,
813,13.12628,0.001986,
814,12.7534,0.00206,
815,10.56857,0.001492,
816,14.88932,0.003182,
817,5.032975,0.004079,
818,9.059439,0.005545,
819,7.138624,0.002251,
820,8.319201,0.004934,
821,9.757958,0.003477,
822,16.77048,0.004027,
823,10.96657,0.002766,
824,17.39157,0.003505,
825,12.93938,0.00563,
826,15.25346,0.00497,
827,9.839925,0.006104,
828,9.898344,0.002963,
829,11.22139,0.004663,
830,12.72916,0.005149,
831,17.18675,0.003612,
832,18.18572,0.003577,
833,9.574804,0.002164,
834,17.21632,0.001682,
835,8.048203,0.002028,
836,4.397865,0.004249,
837,6.38055,0.003315,
838,10.57456,0.002182,
839,11.14083,0.00847,
840,10.63591,0.001713,
841,12.55393,0.001004,
842,30.62659,0.011039,
843,11.72183,0.004615,
844,6.353233,0.004978,
845,8.592783,0.003681,
846,5.204888,0.002232,
847,7.867615,0.002344,
848,11.9303,0.004931,
849,9.846997,0.003462,
850,15.53495,0.002193,
851,6.463776,0.003592,
852,16.10952,0.004163,
853,12.66286,0.00637,
854,9.683599,0.004881,
855,13.61191,0.003572,
856,2.38385,0.003316,
857,12.21813,0.008206,
858,10.64679,0.003551,
859,5.285316,0.010065,
860,12.13189,0.004319,
861,8.485557,0.003934,
862,10.35853,0.001221,
863,14.43322,0.003,
864,10.13799,0.002545,
865,0.868785,0.009585,
866,9.579966,0.002926,
867,1.790282,0.014841,
868,6.347544,0.002577,
869,1.394725,0.019575,
870,5.445902,0.005806,
871,6.732976,0.002317,
872,5.27499,0.011931,
873,4.874851,0.004238,
874,13.43351,0.002248,
875,7.352425,0.004295,
876,8.199748,0.003922,
877,16.73578,0.003721,
878,8.547896,0.003555,
879,12.3753,0.003764,
880,1.202483,0.006281,
881,14.78329,0.00278,
882,6.531366,0.002081,
883,9.028821,0.005712,
884,10.76388,0.002795,
885,12.95142,0.002836,
886,1.731373,0.059062,
887,9.136205,0.001772,
888,9.902006,0.004282,
889,4.980861,0.009897,
890,7.226651,0.003192,
891,12.11757,0.002928,
892,3.478652,0.003817,
893,8.568985,0.005639,
894,10.65632,0.001106,
895,6.819203,0.005022,
896,3.120484,0.003935,
897,1.862146,0.016787,
898,12.33188,0.004952,
899,0.455207,0.009647,
900,14.73947,0.003793,
901,1.386889,0.04567,
902,10.75367,0.00419,
903,3.963473,0.002942,
904,15.04505,0.003699,
905,13.75636,0.00281,
906,12.09025,0.004735,
907,14.6903,0.002141,
908,10.67587,0.003545,
909,13.74221,0.001838,
910,10.30942,0.00463,
911,10.18232,0.015206,
912,5.900421,0.003482,
913,11.72163,0.00537,
914,11.86968,0.003212,
915,12.5988,0.004269,
916,10.40122,0.006492,
917,15.74496,0.003877,
918,9.578583,0.001832,
919,10.37715,0.002899,
920,1.458531,0.003258,
921,11.13685,0.002112,
922,9.205595,0.00324,
923,0.961594,0.013264,
924,9.949255,0.002872,
925,9.377553,0.003921,
926,15.07939,0.002935,
927,11.09995,0.001404,
928,10.30501,0.002753,
929,11.8535,0.002829,
930,16.04496,0.001739,
931,16.26928,0.003832,
932,10.08288,0.001757,
933,11.17956,0.004729,
934,1.621776,0.013618,
935,8.28988,0.004785,
936,14.11468,0.004685,
937,13.68053,0.007564,
938,14.81934,0.001794,
939,13.98769,0.002784,
940,14.51063,0.002659,
941,11.90897,0.004865,
942,17.41359,0.003163,
943,13.45262,0.004475,
944,14.22096,0.003731,
945,9.903467,0.006652,
946,8.948122,0.00132,
947,10.7642,0.006482,
948,10.83959,0.001445,
949,7.541438,0.003955,
950,5.255003,0.005403,
951,15.9653,0.002544,
952,10.13262,0.003298,
953,12.15656,0.003272,
954,17.25149,0.003612,
955,3.417518,0.003892,
956,13.33513,0.0049,
957,11.5468,0.006048,
958,5.650513,0.003183,
959,12.97306,0.003196,
960,12.61782,0.006527,
961,7.420202,0.005236,
962,8.496625,0.002766,
963,8.811682,0.003814,
964,16.35182,0.001658,
965,5.733416,0.004124,
966,14.23249,0.008745,
967,8.237387,0.004761,
968,10.47511,0.002607,
969,5.615489,0.004252,
970,8.615557,0.00383,
971,16.78235,0.007753,
972,14.06994,0.003644,
973,11.60162,0.004646,
974,11.57201,0.005931,
975,13.36725,0.005034,
976,11.81681,0.004249,
977,3.146224,0.005047,
978,9.655597,0.003859,
979,10.93101,0.002448,
980,11.58307,0.003347,
981,12.08753,0.007168,
982,14.77303,0.005651,
983,6.468163,0.003387,
984,8.459478,0.008101,
985,13.23409,0.002127,
986,7.098476,0.003348,
987,8.341711,0.008478,
988,18.04175,0.004827,
989,3.872308,0.005426,
990,13.32554,0.012874,
991,0.555654,0.003028,
992,5.628326,0.004064,
993,13.03799,0.004993,
994,3.71109,0.003973,
995,9.824105,0.001272,
996,10.85172,0.00199,
997,14.56631,0.002934,
998,13.74039,0.004099,
999,7.708679,0.004092,
1000,9.033542,0.002994,
1001,16.0891,0.003506,
1002,12.81575,0.003046,
1003,11.46582,0.010191,
1004,7.232124,0.005606,
1005,3.532885,0.003078,
1006,15.67446,0.002806,
1007,6.170693,0.003085,
1008,10.56933,0.006802,
1009,7.94823,0.009097,
1010,23.76405,0.011383,
1011,7.222984,0.004805,
1012,11.63428,0.007591,
1013,13.83902,0.005925,
1014,13.01252,0.003011,
1015,13.12813,0.003314,
1016,12.47487,0.007547,
1017,8.283856,0.004205,
1018,11.68304,0.00509,
1019,15.83768,0.00277,
1020,11.73187,0.006428,
1021,13.60413,0.002053,
1022,9.91245,0.006953,
